Area	long	lat	year	houseSales	meanHousePrice	MedianHousePrice	populationOfTaxPayers	meanAnnualSalary	MedianAnnualSalary	weeklyRent
City of London	51.5128	-0.0918	1995	165	146043	105,00	9000	98400	40000	55
City of London	51.5128	-0.0918	1996	284	136344	124250	9200	100000	42000	56
City of London	51.5128	-0.0918	1997	328	156418	135000	9400	104000	44000	58
City of London	51.5128	-0.0918	1998	436	227377	169250	9500	105000	45000	58
City of London	51.5128	-0.0918	1999	545	232854	180000	10000	109800	40400	59
City of London	51.5128	-0.0918	2000	441	255964	200000	10000	137000	65000	59
City of London	51.5128	-0.0918	2001	373	266277	237500	12000	92900	38300	60
City of London	51.5128	-0.0918	2002	393	270879	250000	11000	78700	37000	63
City of London	51.5128	-0.0918	2003	483	322733	285000	10000	85800	39200	65
City of London	51.5128	-0.0918	2004	378	292696	280000	10000	95600	44400	68
City of London	51.5128	-0.0918	2005	306	329697	310000	10000	90600	49300	66
City of London	51.5128	-0.0918	2006	300	374654	337500	10000	99200	49000	65
City of London	51.5128	-0.0918	2007	270	490706	416250	10000	102000	58500	69
City of London	51.5128	-0.0918	2008	143	412940	365000	10000	120522	59200	73
City of London	51.5128	-0.0918	2009	159	449611	400000	9000	137000	61900	75
City of London	51.5128	-0.0918	2010	237	524581	450000	8000	127000	61300	76
City of London	51.5128	-0.0918	2011	256	541192	465000	8000	117000	51600	83
City of London	51.5128	-0.0918	2012	197	537160	485000	9000	131000	58300	90
City of London	51.5128	-0.0918	2013	427	775504	615000	9000	151000	65300	112
City of London	51.5128	-0.0918	2014	316	894046	769100	9000	144000	61100	100
City of London	51.5128	-0.0918	2015	282	926292	800000	10000	142000	60000	104
City of London	51.5128	-0.0918	2016	137	928037	831400	12000	157000	57300	105
City of London	51.5128	-0.0918	2017	203	950760	835000	11000	148000	60000	104
City of London	51.5128	-0.0918	2018	185	965842	845300	12000	142000	55200	100
City of London	51.5128	-0.0918	2019	196	981354	842320	12000	128000	54200	103
