year	priceType	GBP
1975	nominalHousePrice	11288
1975	realHousePrice	120481
1976	nominalHousePrice	12209
1976	realHousePrice	113248
1977	nominalHousePrice	13150
1977	realHousePrice	107854
1978	nominalHousePrice	16823
1978	realHousePrice	127503
1979	nominalHousePrice	21966
1979	realHousePrice	142151
1980	nominalHousePrice	23439
1980	realHousePrice	131902
1981	nominalHousePrice	23798
1981	realHousePrice	119320
1982	nominalHousePrice	25580
1982	realHousePrice	120791
1983	nominalHousePrice	28623
1983	realHousePrice	128614
1984	nominalHousePrice	32543
1984	realHousePrice	139624
1985	nominalHousePrice	35439
1985	realHousePrice	144103
1986	nominalHousePrice	39539
1986	realHousePrice	155647
1987	nominalHousePrice	44355
1987	realHousePrice	167437
1988	nominalHousePrice	57245
1988	realHousePrice	202923
1989	nominalHousePrice	61495
1989	realHousePrice	202510
1990	nominalHousePrice	54919
1990	realHousePrice	164451
1991	nominalHousePrice	53635
1991	realHousePrice	154206
1992	nominalHousePrice	50168
1992	realHousePrice	140001
1993	nominalHousePrice	51050
1993	realHousePrice	140252
1994	nominalHousePrice	52114
1994	realHousePrice	139533
1995	nominalHousePrice	50930
1995	realHousePrice	132185
1996	nominalHousePrice	55169
1996	realHousePrice	139561
1997	nominalHousePrice	61830
1997	realHousePrice	150829
1998	nominalHousePrice	66313
1998	realHousePrice	157108
1999	nominalHousePrice	74638
1999	realHousePrice	174287
2000	nominalHousePrice	81628
2000	realHousePrice	184885
2001	nominalHousePrice	92533
2001	realHousePrice	207413
2002	nominalHousePrice	115940
2002	realHousePrice	253464
2003	nominalHousePrice	133903
2003	realHousePrice	285211
2004	nominalHousePrice	152464
2004	realHousePrice	313933
2005	nominalHousePrice	157387
2005	realHousePrice	316451
2006	nominalHousePrice	172065
2006	realHousePrice	332830
2007	nominalHousePrice	183959
2007	realHousePrice	341590
2008	nominalHousePrice	156828
2008	realHousePrice	285508
2009	nominalHousePrice	162116
2009	realHousePrice	291177
2010	nominalHousePrice	162971
2010	realHousePrice	279689
2011	nominalHousePrice	164785
2011	realHousePrice	269052
2012	nominalHousePrice	162924
2012	realHousePrice	258012
2013	nominalHousePrice	174444
2013	realHousePrice	269145
2014	nominalHousePrice	189002
2014	realHousePrice	286053
2015	nominalHousePrice	197044
2015	realHousePrice	294243
2016	nominalHousePrice	205937
2016	realHousePrice	301853
2017	nominalHousePrice	211433
2017	realHousePrice	298005
2018	nominalHousePrice	214178
2018	realHousePrice	292869
2019	nominalHousePrice	215925
2019	realHousePrice	288968
2020	nominalHousePrice	229819
2020	realHousePrice	304115
2021	nominalHousePrice	253113
2021	realHousePrice	313334
