year	borough	data	GBP
1995	Lambeth	averageHousePrice	79654
1995	Lambeth	averageSalary	19000
1996	Lambeth	averageHousePrice	95723
1996	Lambeth	averageSalary	19000
1997	Lambeth	averageHousePrice	106315
1997	Lambeth	averageSalary	19500
1998	Lambeth	averageHousePrice	127297
1998	Lambeth	averageSalary	20000
1999	Lambeth	averageHousePrice	147147
1999	Lambeth	averageSalary	20700
2000	Lambeth	averageHousePrice	180931
2000	Lambeth	averageSalary	21900
2001	Lambeth	averageHousePrice	212198
2001	Lambeth	averageSalary	25600
2002	Lambeth	averageHousePrice	232540
2002	Lambeth	averageSalary	25900
2003	Lambeth	averageHousePrice	237940
2003	Lambeth	averageSalary	26600
2004	Lambeth	averageHousePrice	254231
2004	Lambeth	averageSalary	26800
2005	Lambeth	averageHousePrice	268878
2005	Lambeth	averageSalary	28700
2006	Lambeth	averageHousePrice	293653
2006	Lambeth	averageSalary	30900
2007	Lambeth	averageHousePrice	340604
2007	Lambeth	averageSalary	33300
2008	Lambeth	averageHousePrice	342138
2008	Lambeth	averageSalary	34000
2009	Lambeth	averageHousePrice	336758
2009	Lambeth	averageSalary	35400
2010	Lambeth	averageHousePrice	366963
2010	Lambeth	averageSalary	34200
2011	Lambeth	averageHousePrice	377944
2011	Lambeth	averageSalary	35700
2012	Lambeth	averageHousePrice	398776
2012	Lambeth	averageSalary	37600
2013	Lambeth	averageHousePrice	437456
2013	Lambeth	averageSalary	40600
2014	Lambeth	averageHousePrice	538040
2014	Lambeth	averageSalary	41100
2015	Lambeth	averageHousePrice	554122
2015	Lambeth	averageSalary	43700
2016	Lambeth	averageHousePrice	588579
2016	Lambeth	averageSalary	43900
2017	Lambeth	averageHousePrice	616126
2017	Lambeth	averageSalary	45600
2018	Lambeth	averageHousePrice	600000
2018	Lambeth	averageSalary	47500
2019	Lambeth	averageHousePrice	620000
2019	Lambeth	averageSalary	49100
2020	Lambeth	averageHousePrice	680000
2020	Lambeth	averageSalary	51900
2021	Lambeth	averageHousePrice	690000
2021	Lambeth	averageSalary	56100
1995	Lewisham	averageHousePrice	61562
1995	Lewisham	averageSalary	17000
1996	Lewisham	averageHousePrice	62846
1996	Lewisham	averageSalary	17500
1997	Lewisham	averageHousePrice	73183
1997	Lewisham	averageSalary	17800
1998	Lewisham	averageHousePrice	83082
1998	Lewisham	averageSalary	18000
1999	Lewisham	averageHousePrice	96266
1999	Lewisham	averageSalary	18200
2000	Lewisham	averageHousePrice	118227
2000	Lewisham	averageSalary	19400
2001	Lewisham	averageHousePrice	136125
2001	Lewisham	averageSalary	21600
2002	Lewisham	averageHousePrice	161305
2002	Lewisham	averageSalary	21400
2003	Lewisham	averageHousePrice	185154
2003	Lewisham	averageSalary	21500
2004	Lewisham	averageHousePrice	198402
2004	Lewisham	averageSalary	23100
2005	Lewisham	averageHousePrice	205393
2005	Lewisham	averageSalary	25200
