year	borough	data	GBP
1995	Waltham Forest	averageHousePrice	58120
1995	Waltham Forest	averageSalary	17500
1996	Waltham Forest	averageHousePrice	60623
1996	Waltham Forest	averageSalary	17600
1997	Waltham Forest	averageHousePrice	67020
1997	Waltham Forest	averageSalary	18100
1998	Waltham Forest	averageHousePrice	77012
1998	Waltham Forest	averageSalary	18200
1999	Waltham Forest	averageHousePrice	88497
1999	Waltham Forest	averageSalary	18500
2000	Waltham Forest	averageHousePrice	105279
2000	Waltham Forest	averageSalary	19600
2001	Waltham Forest	averageHousePrice	123846
2001	Waltham Forest	averageSalary	20300
2002	Waltham Forest	averageHousePrice	155056
2002	Waltham Forest	averageSalary	20100
2003	Waltham Forest	averageHousePrice	178958
2003	Waltham Forest	averageSalary	20100
2004	Waltham Forest	averageHousePrice	195125
2004	Waltham Forest	averageSalary	20800
2005	Waltham Forest	averageHousePrice	205386
2005	Waltham Forest	averageSalary	22000
2006	Waltham Forest	averageHousePrice	218586
2006	Waltham Forest	averageSalary	23100
2007	Waltham Forest	averageHousePrice	245515
2007	Waltham Forest	averageSalary	23200
2008	Waltham Forest	averageHousePrice	238156
2008	Waltham Forest	averageSalary	24000
2009	Waltham Forest	averageHousePrice	220077
2009	Waltham Forest	averageSalary	24800
2010	Waltham Forest	averageHousePrice	236576
2010	Waltham Forest	averageSalary	24400
2011	Waltham Forest	averageHousePrice	240234
2011	Waltham Forest	averageSalary	25300
2012	Waltham Forest	averageHousePrice	251671
2012	Waltham Forest	averageSalary	26200
2013	Waltham Forest	averageHousePrice	281255
2013	Waltham Forest	averageSalary	27000
2014	Waltham Forest	averageHousePrice	334326
2014	Waltham Forest	averageSalary	28200
2015	Waltham Forest	averageHousePrice	384365
2015	Waltham Forest	averageSalary	29400
2016	Waltham Forest	averageHousePrice	431878
2016	Waltham Forest	averageSalary	30300
2017	Waltham Forest	averageHousePrice	459922
2017	Waltham Forest	averageSalary	31900
2018	Waltham Forest	averageHousePrice	490000
2018	Waltham Forest	averageSalary	33700
2019	Waltham Forest	averageHousePrice	510000
2019	Waltham Forest	averageSalary	34900
2020	Waltham Forest	averageHousePrice	530000
2020	Waltham Forest	averageSalary	37100
2021	Waltham Forest	averageHousePrice	590000
2021	Waltham Forest	averageSalary	40100
1995	Wandsworth	averageHousePrice	110955
1995	Wandsworth	averageSalary	23000
1996	Wandsworth	averageHousePrice	120488
1996	Wandsworth	averageSalary	25000
1997	Wandsworth	averageHousePrice	137915
1997	Wandsworth	averageSalary	27000
1998	Wandsworth	averageHousePrice	156645
1998	Wandsworth	averageSalary	28000
1999	Wandsworth	averageHousePrice	192372
1999	Wandsworth	averageSalary	29300
2000	Wandsworth	averageHousePrice	233777
2000	Wandsworth	averageSalary	36300
2001	Wandsworth	averageHousePrice	252378
2001	Wandsworth	averageSalary	36000
2002	Wandsworth	averageHousePrice	285773
2002	Wandsworth	averageSalary	35700
2003	Wandsworth	averageHousePrice	299813
2003	Wandsworth	averageSalary	37800
2004	Wandsworth	averageHousePrice	335011
2004	Wandsworth	averageSalary	38200
2005	Wandsworth	averageHousePrice	349202
2005	Wandsworth	averageSalary	44100
2006	Wandsworth	averageHousePrice	395120
2006	Wandsworth	averageSalary	45400
2007	Wandsworth	averageHousePrice	455751
2007	Wandsworth	averageSalary	49500
2008	Wandsworth	averageHousePrice	444944
2008	Wandsworth	averageSalary	50000
2009	Wandsworth	averageHousePrice	459109
2009	Wandsworth	averageSalary	52800
2010	Wandsworth	averageHousePrice	493683
2010	Wandsworth	averageSalary	50700
2011	Wandsworth	averageHousePrice	508691
2011	Wandsworth	averageSalary	53400
2012	Wandsworth	averageHousePrice	532430
2012	Wandsworth	averageSalary	54700
2013	Wandsworth	averageHousePrice	584510
2013	Wandsworth	averageSalary	59900
2014	Wandsworth	averageHousePrice	681731
2014	Wandsworth	averageSalary	59200
2015	Wandsworth	averageHousePrice	687589
2015	Wandsworth	averageSalary	63600
2016	Wandsworth	averageHousePrice	775484
2016	Wandsworth	averageSalary	64900
2017	Wandsworth	averageHousePrice	818443
2017	Wandsworth	averageSalary	67900
2018	Wandsworth	averageHousePrice	830000
2018	Wandsworth	averageSalary	70400
2019	Wandsworth	averageHousePrice	880000
2019	Wandsworth	averageSalary	72400
2020	Wandsworth	averageHousePrice	920000
2020	Wandsworth	averageSalary	75300
2021	Wandsworth	averageHousePrice	940000
2021	Wandsworth	averageSalary	79700
1995	Westminster	averageHousePrice	183338
1995	Westminster	averageSalary	40000
1996	Westminster	averageHousePrice	190417
1996	Westminster	averageSalary	41000
1997	Westminster	averageHousePrice	228494
1997	Westminster	averageSalary	45800
1998	Westminster	averageHousePrice	282269
1998	Westminster	averageSalary	46100
1999	Westminster	averageHousePrice	307029
1999	Westminster	averageSalary	46400
2000	Westminster	averageHousePrice	374658
2000	Westminster	averageSalary	49100
2001	Westminster	averageHousePrice	410251
2001	Westminster	averageSalary	55600
2002	Westminster	averageHousePrice	440783
2002	Westminster	averageSalary	56600
2003	Westminster	averageHousePrice	457656
2003	Westminster	averageSalary	57500
2004	Westminster	averageHousePrice	498794
2004	Westminster	averageSalary	56500
2005	Westminster	averageHousePrice	545120
2005	Westminster	averageSalary	68100
2006	Westminster	averageHousePrice	589613
2006	Westminster	averageSalary	73600
2007	Westminster	averageHousePrice	693083
2007	Westminster	averageSalary	82600
2008	Westminster	averageHousePrice	781173
2008	Westminster	averageSalary	90000
2009	Westminster	averageHousePrice	742745
2009	Westminster	averageSalary	93500
2010	Westminster	averageHousePrice	823306
2010	Westminster	averageSalary	83400
2011	Westminster	averageHousePrice	958412
2011	Westminster	averageSalary	88200
2012	Westminster	averageHousePrice	1147250
2012	Westminster	averageSalary	92200
2013	Westminster	averageHousePrice	1299376
2013	Westminster	averageSalary	107000
2014	Westminster	averageHousePrice	1464109
2014	Westminster	averageSalary	104000
2015	Westminster	averageHousePrice	1361091
2015	Westminster	averageSalary	109000
2016	Westminster	averageHousePrice	1579839
2016	Westminster	averageSalary	107000
2017	Westminster	averageHousePrice	1718124
2017	Westminster	averageSalary	124000
2018	Westminster	averageHousePrice	1900000
2018	Westminster	averageSalary	120000
2019	Westminster	averageHousePrice	2000000
2019	Westminster	averageSalary	118000
2020	Westminster	averageHousePrice	2200000
2020	Westminster	averageSalary	123000
2021	Westminster	averageHousePrice	2300000
2021	Westminster	averageSalary	133000
