year	borough	data	GBP
1995	Hammersmith and Fulham	averageHousePrice	137774
1995	Hammersmith and Fulham	averageSalary	29000
1996	Hammersmith and Fulham	averageHousePrice	150521
1996	Hammersmith and Fulham	averageSalary	30000
1997	Hammersmith and Fulham	averageHousePrice	176577
1997	Hammersmith and Fulham	averageSalary	32000
1998	Hammersmith and Fulham	averageHousePrice	197311
1998	Hammersmith and Fulham	averageSalary	33000
1999	Hammersmith and Fulham	averageHousePrice	240838
1999	Hammersmith and Fulham	averageSalary	34900
2000	Hammersmith and Fulham	averageHousePrice	281619
2000	Hammersmith and Fulham	averageSalary	35400
2001	Hammersmith and Fulham	averageHousePrice	306977
2001	Hammersmith and Fulham	averageSalary	37500
2002	Hammersmith and Fulham	averageHousePrice	345434
2002	Hammersmith and Fulham	averageSalary	35800
2003	Hammersmith and Fulham	averageHousePrice	357956
2003	Hammersmith and Fulham	averageSalary	36200
2004	Hammersmith and Fulham	averageHousePrice	386124
2004	Hammersmith and Fulham	averageSalary	38300
2005	Hammersmith and Fulham	averageHousePrice	418105
2005	Hammersmith and Fulham	averageSalary	43100
2006	Hammersmith and Fulham	averageHousePrice	453325
2006	Hammersmith and Fulham	averageSalary	46200
2007	Hammersmith and Fulham	averageHousePrice	534857
2007	Hammersmith and Fulham	averageSalary	48600
2008	Hammersmith and Fulham	averageHousePrice	565249
2008	Hammersmith and Fulham	averageSalary	50000
2009	Hammersmith and Fulham	averageHousePrice	555613
2009	Hammersmith and Fulham	averageSalary	52900
2010	Hammersmith and Fulham	averageHousePrice	622446
2010	Hammersmith and Fulham	averageSalary	52000
2011	Hammersmith and Fulham	averageHousePrice	638126
2011	Hammersmith and Fulham	averageSalary	52700
2012	Hammersmith and Fulham	averageHousePrice	675674
2012	Hammersmith and Fulham	averageSalary	54300
2013	Hammersmith and Fulham	averageHousePrice	766921
2013	Hammersmith and Fulham	averageSalary	61300
2014	Hammersmith and Fulham	averageHousePrice	886074
2014	Hammersmith and Fulham	averageSalary	62000
2015	Hammersmith and Fulham	averageHousePrice	940897
2015	Hammersmith and Fulham	averageSalary	69700
2016	Hammersmith and Fulham	averageHousePrice	940225
2016	Hammersmith and Fulham	averageSalary	66600
2017	Hammersmith and Fulham	averageHousePrice	972231
2017	Hammersmith and Fulham	averageSalary	73200
2018	Hammersmith and Fulham	averageHousePrice	990000
2018	Hammersmith and Fulham	averageSalary	72600
2019	Hammersmith and Fulham	averageHousePrice	1000000
2019	Hammersmith and Fulham	averageSalary	75900
2020	Hammersmith and Fulham	averageHousePrice	1100000
2020	Hammersmith and Fulham	averageSalary	77800
2021	Hammersmith and Fulham	averageHousePrice	1200000
2021	Hammersmith and Fulham	averageSalary	83600
1995	Haringey	averageHousePrice	89630
1995	Haringey	averageSalary	19000
1996	Haringey	averageHousePrice	102676
1996	Haringey	averageSalary	19200
1997	Haringey	averageHousePrice	106794
1997	Haringey	averageSalary	19500
1998	Haringey	averageHousePrice	123957
1998	Haringey	averageSalary	20000
1999	Haringey	averageHousePrice	143404
1999	Haringey	averageSalary	20600
2000	Haringey	averageHousePrice	169316
2000	Haringey	averageSalary	24500
2001	Haringey	averageHousePrice	193583
2001	Haringey	averageSalary	28000
2002	Haringey	averageHousePrice	226533
2002	Haringey	averageSalary	26000
2003	Haringey	averageHousePrice	237220
2003	Haringey	averageSalary	26100
2004	Haringey	averageHousePrice	259485
2004	Haringey	averageSalary	27900
2005	Haringey	averageHousePrice	274262
2005	Haringey	averageSalary	29500
2006	Haringey	averageHousePrice	305233
2006	Haringey	averageSalary	32500
2007	Haringey	averageHousePrice	352754
2007	Haringey	averageSalary	31900
2008	Haringey	averageHousePrice	346868
2008	Haringey	averageSalary	32000
2009	Haringey	averageHousePrice	350064
2009	Haringey	averageSalary	35100
2010	Haringey	averageHousePrice	395977
2010	Haringey	averageSalary	32900
2011	Haringey	averageHousePrice	411253
2011	Haringey	averageSalary	34600
2012	Haringey	averageHousePrice	416303
2012	Haringey	averageSalary	35400
2013	Haringey	averageHousePrice	481674
2013	Haringey	averageSalary	39100
2014	Haringey	averageHousePrice	542902
2014	Haringey	averageSalary	39500
2015	Haringey	averageHousePrice	569499
2015	Haringey	averageSalary	41700
2016	Haringey	averageHousePrice	606629
2016	Haringey	averageSalary	39900
2017	Haringey	averageHousePrice	683987
2017	Haringey	averageSalary	43800
2018	Haringey	averageHousePrice	700000
2018	Haringey	averageSalary	46300
2019	Haringey	averageHousePrice	710000
2019	Haringey	averageSalary	48600
2020	Haringey	averageHousePrice	740000
2020	Haringey	averageSalary	50200
2021	Haringey	averageHousePrice	760000
2021	Haringey	averageSalary	57100
1995	Harrow	averageHousePrice	90114
1995	Harrow	averageSalary	19500
1996	Harrow	averageHousePrice	94547
1996	Harrow	averageSalary	19800
1997	Harrow	averageHousePrice	109330
1997	Harrow	averageSalary	20000
1998	Harrow	averageHousePrice	123547
1998	Harrow	averageSalary	21000
1999	Harrow	averageHousePrice	142317
1999	Harrow	averageSalary	23300
2000	Harrow	averageHousePrice	168105
2000	Harrow	averageSalary	25700
2001	Harrow	averageHousePrice	185011
2001	Harrow	averageSalary	26500
2002	Harrow	averageHousePrice	221864
2002	Harrow	averageSalary	26900
2003	Harrow	averageHousePrice	254590
2003	Harrow	averageSalary	26300
