year	borough	data	GBP
1995	Enfield	averageHousePrice	78510
1995	Enfield	averageSalary	49000
1996	Enfield	averageHousePrice	82956
1996	Enfield	averageSalary	52000
1997	Enfield	averageHousePrice	95078
1997	Enfield	averageSalary	52000
1998	Enfield	averageHousePrice	102483
1998	Enfield	averageSalary	53000
1999	Enfield	averageHousePrice	113881
1999	Enfield	averageSalary	21500
2000	Enfield	averageHousePrice	133086
2000	Enfield	averageSalary	20800
2001	Enfield	averageHousePrice	154918
2001	Enfield	averageSalary	23100
2002	Enfield	averageHousePrice	178250
2002	Enfield	averageSalary	24100
2003	Enfield	averageHousePrice	205939
2003	Enfield	averageSalary	24200
2004	Enfield	averageHousePrice	220110
2004	Enfield	averageSalary	23900
2005	Enfield	averageHousePrice	228931
2005	Enfield	averageSalary	25800
2006	Enfield	averageHousePrice	244472
2006	Enfield	averageSalary	27100
2007	Enfield	averageHousePrice	267817
2007	Enfield	averageSalary	28100
2008	Enfield	averageHousePrice	271592
2008	Enfield	averageSalary	29000
2009	Enfield	averageHousePrice	266596
2009	Enfield	averageSalary	30600
2010	Enfield	averageHousePrice	284303
2010	Enfield	averageSalary	29000
2011	Enfield	averageHousePrice	285335
2011	Enfield	averageSalary	30400
2012	Enfield	averageHousePrice	295101
2012	Enfield	averageSalary	30800
2013	Enfield	averageHousePrice	309261
2013	Enfield	averageSalary	32900
2014	Enfield	averageHousePrice	350007
2014	Enfield	averageSalary	34400
2015	Enfield	averageHousePrice	389903
2015	Enfield	averageSalary	34600
2016	Enfield	averageHousePrice	450294
2016	Enfield	averageSalary	34600
2017	Enfield	averageHousePrice	463806
2017	Enfield	averageSalary	36200
2018	Enfield	averageHousePrice	480000
2018	Enfield	averageSalary	37200
2019	Enfield	averageHousePrice	600000
2019	Enfield	averageSalary	39500
2020	Enfield	averageHousePrice	520000
2020	Enfield	averageSalary	40700
2021	Enfield	averageHousePrice	540000
2021	Enfield	averageSalary	42800
1995	Greenwich	averageHousePrice	73079
1995	Greenwich	averageSalary	19000
1996	Greenwich	averageHousePrice	76051
1996	Greenwich	averageSalary	19500
1997	Greenwich	averageHousePrice	82966
1997	Greenwich	averageSalary	20000
1998	Greenwich	averageHousePrice	93892
1998	Greenwich	averageSalary	20200
1999	Greenwich	averageHousePrice	111953
1999	Greenwich	averageSalary	20700
2000	Greenwich	averageHousePrice	130980
2000	Greenwich	averageSalary	22400
2001	Greenwich	averageHousePrice	148821
2001	Greenwich	averageSalary	24000
2002	Greenwich	averageHousePrice	176529
2002	Greenwich	averageSalary	22900
2003	Greenwich	averageHousePrice	194558
2003	Greenwich	averageSalary	23300
2004	Greenwich	averageHousePrice	208339
2004	Greenwich	averageSalary	23100
2005	Greenwich	averageHousePrice	225123
2005	Greenwich	averageSalary	25500
2006	Greenwich	averageHousePrice	237557
2006	Greenwich	averageSalary	27400
2007	Greenwich	averageHousePrice	260342
2007	Greenwich	averageSalary	29900
2008	Greenwich	averageHousePrice	267688
2008	Greenwich	averageSalary	30000
2009	Greenwich	averageHousePrice	264755
2009	Greenwich	averageSalary	32800
2010	Greenwich	averageHousePrice	296528
2010	Greenwich	averageSalary	30000
2011	Greenwich	averageHousePrice	296637
2011	Greenwich	averageSalary	31000
2012	Greenwich	averageHousePrice	293544
2012	Greenwich	averageSalary	31500
2013	Greenwich	averageHousePrice	330113
2013	Greenwich	averageSalary	34200
2014	Greenwich	averageHousePrice	369977
2014	Greenwich	averageSalary	34800
2015	Greenwich	averageHousePrice	401116
2015	Greenwich	averageSalary	37300
2016	Greenwich	averageHousePrice	445432
2016	Greenwich	averageSalary	37500
2017	Greenwich	averageHousePrice	462820
2017	Greenwich	averageSalary	40200
2018	Greenwich	averageHousePrice	490000
2018	Greenwich	averageSalary	41300
2019	Greenwich	averageHousePrice	500000
2019	Greenwich	averageSalary	44700
2020	Greenwich	averageHousePrice	520000
2020	Greenwich	averageSalary	46400
2021	Greenwich	averageHousePrice	560000
2021	Greenwich	averageSalary	48900
1995	Hackney	averageHousePrice	71607
1995	Hackney	averageSalary	15000
1996	Hackney	averageHousePrice	75653
1996	Hackney	averageSalary	16200
1997	Hackney	averageHousePrice	89193
1997	Hackney	averageSalary	17200
1998	Hackney	averageHousePrice	103205
1998	Hackney	averageSalary	17555
1999	Hackney	averageHousePrice	128381
1999	Hackney	averageSalary	18700
2000	Hackney	averageHousePrice	155478
2000	Hackney	averageSalary	20000
2001	Hackney	averageHousePrice	178984
2001	Hackney	averageSalary	22400
2002	Hackney	averageHousePrice	204119
2002	Hackney	averageSalary	21300
2003	Hackney	averageHousePrice	224569
2003	Hackney	averageSalary	21500
2004	Hackney	averageHousePrice	236936
2004	Hackney	averageSalary	22900
2005	Hackney	averageHousePrice	249624
2005	Hackney	averageSalary	24600
2006	Hackney	averageHousePrice	275795
2006	Hackney	averageSalary	25300
2007	Hackney	averageHousePrice	313566
2007	Hackney	averageSalary	27900
2008	Hackney	averageHousePrice	318166
2008	Hackney	averageSalary	28000
2009	Hackney	averageHousePrice	313700
2009	Hackney	averageSalary	29800
2010	Hackney	averageHousePrice	345288
2010	Hackney	averageSalary	29500
2011	Hackney	averageHousePrice	354522
2011	Hackney	averageSalary	31200
2012	Hackney	averageHousePrice	379410
2012	Hackney	averageSalary	32700
2013	Hackney	averageHousePrice	430254
2013	Hackney	averageSalary	36300
2014	Hackney	averageHousePrice	501633
2014	Hackney	averageSalary	37100
2015	Hackney	averageHousePrice	564761
2015	Hackney	averageSalary	40200
2016	Hackney	averageHousePrice	602843
2016	Hackney	averageSalary	40600
2017	Hackney	averageHousePrice	614955
2017	Hackney	averageSalary	43100
2018	Hackney	averageHousePrice	610000
2018	Hackney	averageSalary	44900
2019	Hackney	averageHousePrice	630000
2019	Hackney	averageSalary	47200
2020	Hackney	averageHousePrice	670000
2020	Hackney	averageSalary	49400
2021	Hackney	averageHousePrice	690000
2021	Hackney	averageSalary	52500
