year	borough	data	GBP
1995	Newham	averageHousePrice	47528
1995	Newham	averageSalary	14500
1996	Newham	averageHousePrice	50082
1996	Newham	averageSalary	14800
1997	Newham	averageHousePrice	57380
1997	Newham	averageSalary	15200
1998	Newham	averageHousePrice	65286
1998	Newham	averageSalary	15500
1999	Newham	averageHousePrice	75326
1999	Newham	averageSalary	15800
2000	Newham	averageHousePrice	97266
2000	Newham	averageSalary	17000
2001	Newham	averageHousePrice	117223
2001	Newham	averageSalary	17700
2002	Newham	averageHousePrice	145563
2002	Newham	averageSalary	17300
2003	Newham	averageHousePrice	177796
2003	Newham	averageSalary	17400
2004	Newham	averageHousePrice	191477
2004	Newham	averageSalary	18500
2005	Newham	averageHousePrice	203395
2005	Newham	averageSalary	19200
2006	Newham	averageHousePrice	211861
2006	Newham	averageSalary	19600
2007	Newham	averageHousePrice	231013
2007	Newham	averageSalary	21000
2008	Newham	averageHousePrice	243171
2008	Newham	averageSalary	21100
2009	Newham	averageHousePrice	206115
2009	Newham	averageSalary	21900
2010	Newham	averageHousePrice	219872
2010	Newham	averageSalary	21700
2011	Newham	averageHousePrice	214915
2011	Newham	averageSalary	22000
2012	Newham	averageHousePrice	218974
2012	Newham	averageSalary	23100
2013	Newham	averageHousePrice	233074
2013	Newham	averageSalary	24800
2014	Newham	averageHousePrice	269497
2014	Newham	averageSalary	25400
2015	Newham	averageHousePrice	319348
2015	Newham	averageSalary	27300
2016	Newham	averageHousePrice	370476
2016	Newham	averageSalary	28200
2017	Newham	averageHousePrice	409477
2017	Newham	averageSalary	30000
2018	Newham	averageHousePrice	410000
2018	Newham	averageSalary	31000
2019	Newham	averageHousePrice	420000
2019	Newham	averageSalary	31700
2020	Newham	averageHousePrice	480000
2020	Newham	averageSalary	34300
2021	Newham	averageHousePrice	500000
2021	Newham	averageSalary	36100
1995	Redbridge	averageHousePrice	75003
1995	Redbridge	averageSalary	20000
1996	Redbridge	averageHousePrice	80572
1996	Redbridge	averageSalary	20500
1997	Redbridge	averageHousePrice	86048
1997	Redbridge	averageSalary	21000
1998	Redbridge	averageHousePrice	95245
1998	Redbridge	averageSalary	21500
1999	Redbridge	averageHousePrice	109668
1999	Redbridge	averageSalary	21700
2000	Redbridge	averageHousePrice	131900
2000	Redbridge	averageSalary	21700
2001	Redbridge	averageHousePrice	155125
2001	Redbridge	averageSalary	23800
2002	Redbridge	averageHousePrice	185697
