year	borough	data	GBP
1995	Islington	averageHousePrice	119917
1995	Islington	averageSalary	25000
1996	Islington	averageHousePrice	124792
1996	Islington	averageSalary	26000
1997	Islington	averageHousePrice	144903
1997	Islington	averageSalary	28000
1998	Islington	averageHousePrice	169409
1998	Islington	averageSalary	30000
1999	Islington	averageHousePrice	204670
1999	Islington	averageSalary	31100
2000	Islington	averageHousePrice	246055
2000	Islington	averageSalary	30000
2001	Islington	averageHousePrice	260959
2001	Islington	averageSalary	33500
2002	Islington	averageHousePrice	292153
2002	Islington	averageSalary	36300
2003	Islington	averageHousePrice	294619
2003	Islington	averageSalary	36800
2004	Islington	averageHousePrice	320209
2004	Islington	averageSalary	35400
2005	Islington	averageHousePrice	333339
2005	Islington	averageSalary	39000
2006	Islington	averageHousePrice	366741
2006	Islington	averageSalary	41400
2007	Islington	averageHousePrice	437251
2007	Islington	averageSalary	43300
2008	Islington	averageHousePrice	425669
2008	Islington	averageSalary	45000
2009	Islington	averageHousePrice	414331
2009	Islington	averageSalary	48400
2010	Islington	averageHousePrice	480212
2010	Islington	averageSalary	47600
2011	Islington	averageHousePrice	507197
2011	Islington	averageSalary	47200
2012	Islington	averageHousePrice	523617
2012	Islington	averageSalary	48400
2013	Islington	averageHousePrice	575438
2013	Islington	averageSalary	51900
2014	Islington	averageHousePrice	669869
2014	Islington	averageSalary	56800
2015	Islington	averageHousePrice	743764
2015	Islington	averageSalary	58900
2016	Islington	averageHousePrice	754514
2016	Islington	averageSalary	59500
2017	Islington	averageHousePrice	778290
2017	Islington	averageSalary	62100
2018	Islington	averageHousePrice	790000
2018	Islington	averageSalary	63900
2019	Islington	averageHousePrice	800000
2019	Islington	averageSalary	66100
2020	Islington	averageHousePrice	810000
2020	Islington	averageSalary	70100
2021	Islington	averageHousePrice	850000
2021	Islington	averageSalary	76600
1995	Kensington and Chelsea	averageHousePrice	263462
1995	Kensington and Chelsea	averageSalary	50000
1996	Kensington and Chelsea	averageHousePrice	297757
1996	Kensington and Chelsea	averageSalary	52000
1997	Kensington and Chelsea	averageHousePrice	347240
1997	Kensington and Chelsea	averageSalary	52000
1998	Kensington and Chelsea	averageHousePrice	378450
1998	Kensington and Chelsea	averageSalary	55000
1999	Kensington and Chelsea	averageHousePrice	432504
1999	Kensington and Chelsea	averageSalary	58200
2000	Kensington and Chelsea	averageHousePrice	558627
2000	Kensington and Chelsea	averageSalary	86500
2001	Kensington and Chelsea	averageHousePrice	583952
2001	Kensington and Chelsea	averageSalary	78900
2002	Kensington and Chelsea	averageHousePrice	615562
2002	Kensington and Chelsea	averageSalary	72900
2003	Kensington and Chelsea	averageHousePrice	660887
2003	Kensington and Chelsea	averageSalary	84900
2004	Kensington and Chelsea	averageHousePrice	711106
2004	Kensington and Chelsea	averageSalary	86600
2005	Kensington and Chelsea	averageHousePrice	756023
2005	Kensington and Chelsea	averageSalary	109000
2006	Kensington and Chelsea	averageHousePrice	873065
2006	Kensington and Chelsea	averageSalary	122000
2007	Kensington and Chelsea	averageHousePrice	1023870
2007	Kensington and Chelsea	averageSalary	151000
2008	Kensington and Chelsea	averageHousePrice	1185892
2008	Kensington and Chelsea	averageSalary	158000
2009	Kensington and Chelsea	averageHousePrice	1042685
2009	Kensington and Chelsea	averageSalary	161000
2010	Kensington and Chelsea	averageHousePrice	1256272
2010	Kensington and Chelsea	averageSalary	128000
2011	Kensington and Chelsea	averageHousePrice	1290725
2011	Kensington and Chelsea	averageSalary	137000
2012	Kensington and Chelsea	averageHousePrice	1511383
2012	Kensington and Chelsea	averageSalary	131000
2013	Kensington and Chelsea	averageHousePrice	1666682
2013	Kensington and Chelsea	averageSalary	156000
2014	Kensington and Chelsea	averageHousePrice	1946177
2014	Kensington and Chelsea	averageSalary	158000
2015	Kensington and Chelsea	averageHousePrice	1914363
2015	Kensington and Chelsea	averageSalary	178000
2016	Kensington and Chelsea	averageHousePrice	1953392
2016	Kensington and Chelsea	averageSalary	171000
2017	Kensington and Chelsea	averageHousePrice	2092485
2017	Kensington and Chelsea	averageSalary	177000
2018	Kensington and Chelsea	averageHousePrice	2300000
2018	Kensington and Chelsea	averageSalary	173000
2019	Kensington and Chelsea	averageHousePrice	2600000
2019	Kensington and Chelsea	averageSalary	185000
2020	Kensington and Chelsea	averageHousePrice	2800000
2020	Kensington and Chelsea	averageSalary	198000
2021	Kensington and Chelsea	averageHousePrice	2900000
2021	Kensington and Chelsea	averageSalary	208000
1995	Kingston-upon-Thames	averageHousePrice	97860
1995	Kingston-upon-Thames	averageSalary	24000
1996	Kingston-upon-Thames	averageHousePrice	106789
1996	Kingston-upon-Thames	averageSalary	25000
1997	Kingston-upon-Thames	averageHousePrice	114268
1997	Kingston-upon-Thames	averageSalary	26000
1998	Kingston-upon-Thames	averageHousePrice	133869
1998	Kingston-upon-Thames	averageSalary	27000
1999	Kingston-upon-Thames	averageHousePrice	152164
1999	Kingston-upon-Thames	averageSalary	28400
2000	Kingston-upon-Thames	averageHousePrice	187757
2000	Kingston-upon-Thames	averageSalary	26400
2001	Kingston-upon-Thames	averageHousePrice	201931
2001	Kingston-upon-Thames	averageSalary	28400
2002	Kingston-upon-Thames	averageHousePrice	232365
2002	Kingston-upon-Thames	averageSalary	27900
