year	borough	data	GBP
1995	Havering	averageHousePrice	75226
1995	Havering	averageSalary	19100
1996	Havering	averageHousePrice	79625
1996	Havering	averageSalary	19000
1997	Havering	averageHousePrice	84998
1997	Havering	averageSalary	19500
1998	Havering	averageHousePrice	95269
1998	Havering	averageSalary	20000
1999	Havering	averageHousePrice	106996
1999	Havering	averageSalary	20400
2000	Havering	averageHousePrice	122976
2000	Havering	averageSalary	21400
2001	Havering	averageHousePrice	136554
2001	Havering	averageSalary	22200
2002	Havering	averageHousePrice	163234
2002	Havering	averageSalary	22700
2003	Havering	averageHousePrice	192244
2003	Havering	averageSalary	22800
2004	Havering	averageHousePrice	208511
2004	Havering	averageSalary	23100
2005	Havering	averageHousePrice	219961
2005	Havering	averageSalary	25000
2006	Havering	averageHousePrice	227975
2006	Havering	averageSalary	26100
2007	Havering	averageHousePrice	246249
2007	Havering	averageSalary	27100
2008	Havering	averageHousePrice	246272
2008	Havering	averageSalary	28000
2009	Havering	averageHousePrice	225795
2009	Havering	averageSalary	29700
2010	Havering	averageHousePrice	257191
2010	Havering	averageSalary	29000
2011	Havering	averageHousePrice	248856
2011	Havering	averageSalary	30400
2012	Havering	averageHousePrice	245160
2012	Havering	averageSalary	30600
2013	Havering	averageHousePrice	257481
2013	Havering	averageSalary	31300
2014	Havering	averageHousePrice	284185
2014	Havering	averageSalary	32100
2015	Havering	averageHousePrice	317807
2015	Havering	averageSalary	33600
2016	Havering	averageHousePrice	358601
2016	Havering	averageSalary	33900
2017	Havering	averageHousePrice	387535
2017	Havering	averageSalary	35700
2018	Havering	averageHousePrice	400000
2018	Havering	averageSalary	37100
2019	Havering	averageHousePrice	420000
2019	Havering	averageSalary	38100
2020	Havering	averageHousePrice	440000
2020	Havering	averageSalary	38000
2021	Havering	averageHousePrice	450000
2021	Havering	averageSalary	40000
1995	Hillingdon	averageHousePrice	81489
1995	Hillingdon	averageSalary	19500
1996	Hillingdon	averageHousePrice	84197
1996	Hillingdon	averageSalary	20000
1997	Hillingdon	averageHousePrice	93055
1997	Hillingdon	averageSalary	21000
1998	Hillingdon	averageHousePrice	103077
1998	Hillingdon	averageSalary	21500
1999	Hillingdon	averageHousePrice	119189
1999	Hillingdon	averageSalary	21700
2000	Hillingdon	averageHousePrice	141787
2000	Hillingdon	averageSalary	20900
2001	Hillingdon	averageHousePrice	158026
2001	Hillingdon	averageSalary	23600
2002	Hillingdon	averageHousePrice	183959
2002	Hillingdon	averageSalary	24000
2003	Hillingdon	averageHousePrice	210379
2003	Hillingdon	averageSalary	23800
2004	Hillingdon	averageHousePrice	223758
2004	Hillingdon	averageSalary	25200
2005	Hillingdon	averageHousePrice	233399
2005	Hillingdon	averageSalary	26300
2006	Hillingdon	averageHousePrice	253091
2006	Hillingdon	averageSalary	27600
2007	Hillingdon	averageHousePrice	271401
2007	Hillingdon	averageSalary	27900
2008	Hillingdon	averageHousePrice	268423
2008	Hillingdon	averageSalary	28000
2009	Hillingdon	averageHousePrice	255440
2009	Hillingdon	averageSalary	29300
2010	Hillingdon	averageHousePrice	282348
2010	Hillingdon	averageSalary	28400
2011	Hillingdon	averageHousePrice	288639
2011	Hillingdon	averageSalary	30000
2012	Hillingdon	averageHousePrice	296744
2012	Hillingdon	averageSalary	30100
2013	Hillingdon	averageHousePrice	306450
2013	Hillingdon	averageSalary	31300
2014	Hillingdon	averageHousePrice	348123
2014	Hillingdon	averageSalary	32300
2015	Hillingdon	averageHousePrice	393842
2015	Hillingdon	averageSalary	33900
2016	Hillingdon	averageHousePrice	439746
2016	Hillingdon	averageSalary	34300
2017	Hillingdon	averageHousePrice	452272
2017	Hillingdon	averageSalary	35900
2018	Hillingdon	averageHousePrice	480000
2018	Hillingdon	averageSalary	36800
2019	Hillingdon	averageHousePrice	490000
2019	Hillingdon	averageSalary	37300
2020	Hillingdon	averageHousePrice	500000
2020	Hillingdon	averageSalary	38200
2021	Hillingdon	averageHousePrice	510000
2021	Hillingdon	averageSalary	41600
1995	Hounslow	averageHousePrice	89489
1995	Hounslow	averageSalary	20000
1996	Hounslow	averageHousePrice	92155
1996	Hounslow	averageSalary	20000
1997	Hounslow	averageHousePrice	101768
1997	Hounslow	averageSalary	20200
1998	Hounslow	averageHousePrice	123952
1998	Hounslow	averageSalary	20500
1999	Hounslow	averageHousePrice	143128
1999	Hounslow	averageSalary	20900
2000	Hounslow	averageHousePrice	169888
2000	Hounslow	averageSalary	22400
2001	Hounslow	averageHousePrice	189187
2001	Hounslow	averageSalary	23800
2002	Hounslow	averageHousePrice	214367
2002	Hounslow	averageSalary	24500
2003	Hounslow	averageHousePrice	235931
2003	Hounslow	averageSalary	24800
2004	Hounslow	averageHousePrice	247790
2004	Hounslow	averageSalary	25500
2005	Hounslow	averageHousePrice	260221
2005	Hounslow	averageSalary	26900
2006	Hounslow	averageHousePrice	287101
2006	Hounslow	averageSalary	27800
2007	Hounslow	averageHousePrice	311925
2007	Hounslow	averageSalary	29000
2008	Hounslow	averageHousePrice	314107
2008	Hounslow	averageSalary	30000
2009	Hounslow	averageHousePrice	314530
2009	Hounslow	averageSalary	31800
2010	Hounslow	averageHousePrice	342719
2010	Hounslow	averageSalary	30800
2011	Hounslow	averageHousePrice	363455
2011	Hounslow	averageSalary	32400
2012	Hounslow	averageHousePrice	358795
2012	Hounslow	averageSalary	32200
2013	Hounslow	averageHousePrice	397806
2013	Hounslow	averageSalary	35800
2014	Hounslow	averageHousePrice	427360
2014	Hounslow	averageSalary	36800
2015	Hounslow	averageHousePrice	462024
2015	Hounslow	averageSalary	38400
2016	Hounslow	averageHousePrice	476268
2016	Hounslow	averageSalary	39900
2017	Hounslow	averageHousePrice	507876
2017	Hounslow	averageSalary	40300
2018	Hounslow	averageHousePrice	520000
2018	Hounslow	averageSalary	42000
2019	Hounslow	averageHousePrice	530000
2019	Hounslow	averageSalary	41700
2020	Hounslow	averageHousePrice	580000
2020	Hounslow	averageSalary	43000
2021	Hounslow	averageHousePrice	620000
2021	Hounslow	averageSalary	45400
