year	borough	data	GBP
1995	Southwark	averageHousePrice	84677
1995	Southwark	averageSalary	19000
1996	Southwark	averageHousePrice	87617
1996	Southwark	averageSalary	19500
1997	Southwark	averageHousePrice	103515
1997	Southwark	averageSalary	20000
1998	Southwark	averageHousePrice	121755
1998	Southwark	averageSalary	20000
1999	Southwark	averageHousePrice	142789
1999	Southwark	averageSalary	20000
2000	Southwark	averageHousePrice	184697
2000	Southwark	averageSalary	20400
2001	Southwark	averageHousePrice	221727
2001	Southwark	averageSalary	22500
2002	Southwark	averageHousePrice	240345
2002	Southwark	averageSalary	25900
2003	Southwark	averageHousePrice	252682
2003	Southwark	averageSalary	24600
2004	Southwark	averageHousePrice	273515
2004	Southwark	averageSalary	25400
2005	Southwark	averageHousePrice	289173
2005	Southwark	averageSalary	26300
2006	Southwark	averageHousePrice	332738
2006	Southwark	averageSalary	29500
2007	Southwark	averageHousePrice	328055
2007	Southwark	averageSalary	31800
2008	Southwark	averageHousePrice	338570
2008	Southwark	averageSalary	36000
2009	Southwark	averageHousePrice	376688
2009	Southwark	averageSalary	36800
2010	Southwark	averageHousePrice	400980
2010	Southwark	averageSalary	35400
2011	Southwark	averageHousePrice	415796
2011	Southwark	averageSalary	36500
2012	Southwark	averageHousePrice	441747
2012	Southwark	averageSalary	37500
2013	Southwark	averageHousePrice	518144
2013	Southwark	averageSalary	40500
2014	Southwark	averageHousePrice	583065
2014	Southwark	averageSalary	41600
2015	Southwark	averageHousePrice	643858
2015	Southwark	averageSalary	44200
2016	Southwark	averageHousePrice	641210
2016	Southwark	averageSalary	45400
2017	Southwark	averageHousePrice	660000
2017	Southwark	averageSalary	48600
2018	Southwark	averageHousePrice	660000
2018	Southwark	averageSalary	49400
2019	Southwark	averageHousePrice	690000
2019	Southwark	averageSalary	53400
2020	Southwark	averageHousePrice	720000
2020	Southwark	averageSalary	55300
2021	Southwark	averageHousePrice	760000
2021	Southwark	averageSalary	57800
1995	Sutton	averageHousePrice	76952
1995	Sutton	averageSalary	19000
1996	Sutton	averageHousePrice	79561
1996	Sutton	averageSalary	19200
1997	Sutton	averageHousePrice	88169
1997	Sutton	averageSalary	19500
1998	Sutton	averageHousePrice	100413
1998	Sutton	averageSalary	20000
1999	Sutton	averageHousePrice	113447
1999	Sutton	averageSalary	21000
2000	Sutton	averageHousePrice	138136
2000	Sutton	averageSalary	21900
2001	Sutton	averageHousePrice	153408
2001	Sutton	averageSalary	23100
2002	Sutton	averageHousePrice	177432
2002	Sutton	averageSalary	23700
2003	Sutton	averageHousePrice	197763
2003	Sutton	averageSalary	24600
2004	Sutton	averageHousePrice	212522
