year	borough	data	GBP
1995	City of London	averageHousePrice	146043
1995	City of London	averageSalary	98400
1996	City of London	averageHousePrice	136344
1996	City of London	averageSalary	100000
1997	City of London	averageHousePrice	156418
1997	City of London	averageSalary	104000
1998	City of London	averageHousePrice	227377
1998	City of London	averageSalary	105000
1999	City of London	averageHousePrice	232854
1999	City of London	averageSalary	109800
2000	City of London	averageHousePrice	255964
2000	City of London	averageSalary	137000
2001	City of London	averageHousePrice	266277
2001	City of London	averageSalary	92900
2002	City of London	averageHousePrice	270879
2002	City of London	averageSalary	78700
2003	City of London	averageHousePrice	322733
2003	City of London	averageSalary	85800
2004	City of London	averageHousePrice	292696
2004	City of London	averageSalary	95600
2005	City of London	averageHousePrice	329697
2005	City of London	averageSalary	90600
2006	City of London	averageHousePrice	374654
2006	City of London	averageSalary	99200
2007	City of London	averageHousePrice	490706
2007	City of London	averageSalary	102000
2008	City of London	averageHousePrice	412940
2008	City of London	averageSalary	120522
2009	City of London	averageHousePrice	449611
2009	City of London	averageSalary	137000
2010	City of London	averageHousePrice	524581
2010	City of London	averageSalary	127000
2011	City of London	averageHousePrice	541192
2011	City of London	averageSalary	117000
2012	City of London	averageHousePrice	537160
2012	City of London	averageSalary	131000
2013	City of London	averageHousePrice	775504
2013	City of London	averageSalary	151000
2014	City of London	averageHousePrice	894046
2014	City of London	averageSalary	144000
2015	City of London	averageHousePrice	926292
2015	City of London	averageSalary	142000
2016	City of London	averageHousePrice	928037
2016	City of London	averageSalary	157000
2017	City of London	averageHousePrice	950760
2017	City of London	averageSalary	148000
2018	City of London	averageHousePrice	965842
2018	City of London	averageSalary	142000
2019	City of London	averageHousePrice	981354
2019	City of London	averageSalary	128000
2020	City of London	averageHousePrice	1254654
2020	City of London	averageSalary	142000
2021	City of London	averageHousePrice	1345060
2021	City of London	averageSalary	167000
1995	Croydon	averageHousePrice	71800
1995	Croydon	averageSalary	17000
1996	Croydon	averageHousePrice	75678
1996	Croydon	averageSalary	18000
1997	Croydon	averageHousePrice	83343
1997	Croydon	averageSalary	19000
1998	Croydon	averageHousePrice	94296
1998	Croydon	averageSalary	20000
1999	Croydon	averageHousePrice	107094
1999	Croydon	averageSalary	21500
2000	Croydon	averageHousePrice	128084
2000	Croydon	averageSalary	22100
2001	Croydon	averageHousePrice	144254
2001	Croydon	averageSalary	23500
2002	Croydon	averageHousePrice	172274
2002	Croydon	averageSalary	23400
2003	Croydon	averageHousePrice	196228
2003	Croydon	averageSalary	23300
2004	Croydon	averageHousePrice	209354
2004	Croydon	averageSalary	24300
2005	Croydon	averageHousePrice	218049
2005	Croydon	averageSalary	25800
2006	Croydon	averageHousePrice	230773
2006	Croydon	averageSalary	27200
2007	Croydon	averageHousePrice	247869
2007	Croydon	averageSalary	28100
2008	Croydon	averageHousePrice	253571
2008	Croydon	averageSalary	29000
2009	Croydon	averageHousePrice	233442
2009	Croydon	averageSalary	29700
2010	Croydon	averageHousePrice	254458
2010	Croydon	averageSalary	29000
2011	Croydon	averageHousePrice	256219
2011	Croydon	averageSalary	29700
2012	Croydon	averageHousePrice	262587
2012	Croydon	averageSalary	30700
2013	Croydon	averageHousePrice	271891
2013	Croydon	averageSalary	31800
2014	Croydon	averageHousePrice	300572
2014	Croydon	averageSalary	32600
2015	Croydon	averageHousePrice	340768
2015	Croydon	averageSalary	34200
2016	Croydon	averageHousePrice	372054
2016	Croydon	averageSalary	33800
2017	Croydon	averageHousePrice	399645
2017	Croydon	averageSalary	35600
2018	Croydon	averageHousePrice	400000
2018	Croydon	averageSalary	36500
2019	Croydon	averageHousePrice	410000
2019	Croydon	averageSalary	37800
2020	Croydon	averageHousePrice	420000
2020	Croydon	averageSalary	38300
2021	Croydon	averageHousePrice	430000
2021	Croydon	averageSalary	40900
1995	Ealing	averageSalary	19800
1996	Ealing	averageHousePrice	97595
1996	Ealing	averageSalary	19900
1997	Ealing	averageHousePrice	112582
1997	Ealing	averageSalary	20000
1998	Ealing	averageHousePrice	126671
1998	Ealing	averageSalary	21000
1999	Ealing	averageHousePrice	153236
1999	Ealing	averageSalary	22800
2000	Ealing	averageHousePrice	176993
2000	Ealing	averageSalary	23800
2001	Ealing	averageHousePrice	196261
2001	Ealing	averageSalary	25200
2002	Ealing	averageHousePrice	227974
2002	Ealing	averageSalary	25400
2003	Ealing	averageHousePrice	238760
2003	Ealing	averageSalary	26100
2004	Ealing	averageHousePrice	260325
2004	Ealing	averageSalary	26500
2005	Ealing	averageHousePrice	271985
2005	Ealing	averageSalary	26900
2006	Ealing	averageHousePrice	292639
2006	Ealing	averageSalary	28700
2007	Ealing	averageHousePrice	327798
2007	Ealing	averageSalary	30000
2008	Ealing	averageHousePrice	327502
2008	Ealing	averageSalary	31000
2009	Ealing	averageHousePrice	328818
2009	Ealing	averageSalary	32400
2010	Ealing	averageHousePrice	350588
2010	Ealing	averageSalary	30700
2011	Ealing	averageHousePrice	375143
2011	Ealing	averageSalary	32000
2012	Ealing	averageHousePrice	397675
2012	Ealing	averageSalary	32600
2013	Ealing	averageHousePrice	427847
2013	Ealing	averageSalary	34500
2014	Ealing	averageHousePrice	501526
2014	Ealing	averageSalary	35300
2015	Ealing	averageHousePrice	524967
2015	Ealing	averageSalary	37000
2016	Ealing	averageHousePrice	553669
2016	Ealing	averageSalary	37300
2017	Ealing	averageHousePrice	578110
2017	Ealing	averageSalary	39700
2018	Ealing	averageHousePrice	590000
2018	Ealing	averageSalary	39800
2019	Ealing	averageHousePrice	610000
2019	Ealing	averageSalary	42700
2020	Ealing	averageHousePrice	620000
2020	Ealing	averageSalary	44100
2021	Ealing	averageHousePrice	680000
2021	Ealing	averageSalary	46800
