year	borough	data	GBP
1995	Brent	averageHousePrice	58120
1995	Brent	averageSalary	17500
1996	Brent	averageHousePrice	60623
1996	Brent	averageSalary	17600
1997	Brent	averageHousePrice	67020
1997	Brent	averageSalary	18100
1998	Brent	averageHousePrice	77012
1998	Brent	averageSalary	18200
1999	Brent	averageHousePrice	88497
1999	Brent	averageSalary	18500
2000	Brent	averageHousePrice	105279
2000	Brent	averageSalary	19600
2001	Brent	averageHousePrice	123846
2001	Brent	averageSalary	20300
2002	Brent	averageHousePrice	155056
2002	Brent	averageSalary	20100
2003	Brent	averageHousePrice	178958
2003	Brent	averageSalary	20100
2004	Brent	averageHousePrice	195125
2004	Brent	averageSalary	20800
2005	Brent	averageHousePrice	205386
2005	Brent	averageSalary	22000
2006	Brent	averageHousePrice	218586
2006	Brent	averageSalary	23100
2007	Brent	averageHousePrice	245515
2007	Brent	averageSalary	23200
2008	Brent	averageHousePrice	238156
2008	Brent	averageSalary	24000
2009	Brent	averageHousePrice	220077
2009	Brent	averageSalary	24800
2010	Brent	averageHousePrice	236576
2010	Brent	averageSalary	24400
2011	Brent	averageHousePrice	240234
2011	Brent	averageSalary	25300
2012	Brent	averageHousePrice	251671
2012	Brent	averageSalary	26200
2013	Brent	averageHousePrice	281255
2013	Brent	averageSalary	27000
2014	Brent	averageHousePrice	334326
2014	Brent	averageSalary	28200
2015	Brent	averageHousePrice	384365
2015	Brent	averageSalary	29400
2016	Brent	averageHousePrice	431878
2016	Brent	averageSalary	30300
2017	Brent	averageHousePrice	459922
2017	Brent	averageSalary	31900
2018	Brent	averageHousePrice	490000
2018	Brent	averageSalary	33700
2019	Brent	averageHousePrice	510000
2019	Brent	averageSalary	34900
2020	Brent	averageHousePrice	530000
2020	Brent	averageSalary	37100
2021	Brent	averageHousePrice	590000
2021	Brent	averageSalary	40100
1995	Bromley	averageHousePrice	110955
1995	Bromley	averageSalary	23000
1996	Bromley	averageHousePrice	120488
1996	Bromley	averageSalary	25000
1997	Bromley	averageHousePrice	137915
1997	Bromley	averageSalary	27000
1998	Bromley	averageHousePrice	156645
1998	Bromley	averageSalary	28000
1999	Bromley	averageHousePrice	192372
1999	Bromley	averageSalary	29300
2000	Bromley	averageHousePrice	233777
2000	Bromley	averageSalary	36300
2001	Bromley	averageHousePrice	252378
2001	Bromley	averageSalary	36000
2002	Bromley	averageHousePrice	285773
2002	Bromley	averageSalary	35700
2003	Bromley	averageHousePrice	299813
2003	Bromley	averageSalary	37800
2004	Bromley	averageHousePrice	335011
2004	Bromley	averageSalary	38200
2005	Bromley	averageHousePrice	349202
2005	Bromley	averageSalary	44100
2006	Bromley	averageHousePrice	395120
2006	Bromley	averageSalary	45400
2007	Bromley	averageHousePrice	455751
2007	Bromley	averageSalary	49500
2008	Bromley	averageHousePrice	444944
2008	Bromley	averageSalary	50000
2009	Bromley	averageHousePrice	459109
2009	Bromley	averageSalary	52800
2010	Bromley	averageHousePrice	493683
2010	Bromley	averageSalary	50700
2011	Bromley	averageHousePrice	508691
2011	Bromley	averageSalary	53400
2012	Bromley	averageHousePrice	532430
2012	Bromley	averageSalary	54700
2013	Bromley	averageHousePrice	584510
2013	Bromley	averageSalary	59900
2014	Bromley	averageHousePrice	681731
2014	Bromley	averageSalary	59200
2015	Bromley	averageHousePrice	687589
2015	Bromley	averageSalary	63600
2016	Bromley	averageHousePrice	775484
2016	Bromley	averageSalary	64900
2017	Bromley	averageHousePrice	818443
2017	Bromley	averageSalary	67900
2018	Bromley	averageHousePrice	830000
2018	Bromley	averageSalary	70400
2019	Bromley	averageHousePrice	880000
2019	Bromley	averageSalary	72400
2020	Bromley	averageHousePrice	920000
2020	Bromley	averageSalary	75300
2021	Bromley	averageHousePrice	940000
2021	Bromley	averageSalary	79700
1995	Camden	averageHousePrice	183338
1995	Camden	averageSalary	40000
1996	Camden	averageHousePrice	190417
1996	Camden	averageSalary	41000
1997	Camden	averageHousePrice	228494
1997	Camden	averageSalary	45800
1998	Camden	averageHousePrice	282269
1998	Camden	averageSalary	46100
1999	Camden	averageHousePrice	307029
1999	Camden	averageSalary	46400
2000	Camden	averageHousePrice	374658
2000	Camden	averageSalary	49100
2001	Camden	averageHousePrice	410251
2001	Camden	averageSalary	55600
2002	Camden	averageHousePrice	440783
2002	Camden	averageSalary	56600
2003	Camden	averageHousePrice	457656
2003	Camden	averageSalary	57500
2004	Camden	averageHousePrice	498794
2004	Camden	averageSalary	56500
2005	Camden	averageHousePrice	545120
2005	Camden	averageSalary	68100
2006	Camden	averageHousePrice	589613
2006	Camden	averageSalary	73600
2007	Camden	averageHousePrice	693083
2007	Camden	averageSalary	82600
2008	Camden	averageHousePrice	781173
2008	Camden	averageSalary	90000
2009	Camden	averageHousePrice	742745
2009	Camden	averageSalary	93500
2010	Camden	averageHousePrice	823306
2010	Camden	averageSalary	83400
2011	Camden	averageHousePrice	958412
2011	Camden	averageSalary	88200
2012	Camden	averageHousePrice	1147250
2012	Camden	averageSalary	92200
2013	Camden	averageHousePrice	1299376
2013	Camden	averageSalary	107000
2014	Camden	averageHousePrice	1464109
2014	Camden	averageSalary	104000
2015	Camden	averageHousePrice	1361091
2015	Camden	averageSalary	109000
2016	Camden	averageHousePrice	1579839
2016	Camden	averageSalary	107000
2017	Camden	averageHousePrice	1718124
2017	Camden	averageSalary	124000
2018	Camden	averageHousePrice	1900000
2018	Camden	averageSalary	120000
2019	Camden	averageHousePrice	2000000
2019	Camden	averageSalary	118000
2020	Camden	averageHousePrice	2200000
2020	Camden	averageSalary	123000
2021	Camden	averageHousePrice	2300000
2021	Camden	averageSalary	133000
