year,priceType,GBP
1975,51.5128,-0.0918
1975,51.5128,-0.0918
1975,51.5128,-0.0918
1976,51.5128,-0.0918
1976,51.5128,-0.0918
1976,51.5128,-0.0918
1977,51.5128,-0.0918
1977,51.5128,-0.0918
1977,51.5128,-0.0918
1978,51.5128,-0.0918
1978,51.5128,-0.0918
1978,51.5128,-0.0918
1979,51.5128,-0.0918
1979,51.5128,-0.0918
1979,51.5128,-0.0918
1980,51.5128,-0.0918
1980,51.5128,-0.0918
1980,51.5128,-0.0918
1981,51.5128,-0.0918
1981,51.5128,-0.0918
1981,51.5128,-0.0918
1982,51.5128,-0.0918
1982,51.5128,-0.0918
1982,51.5128,-0.0918
1983,51.5128,-0.0918
1983,51.5128,-0.0918
1983,51.5128,-0.0918
1984,51.5362,0.0792
1984,51.5362,0.0792
1984,51.5362,0.0792
1985,51.5362,0.0792
1985,51.5362,0.0792
1985,51.5362,0.0792
1986,51.5362,0.0792
1986,51.5362,0.0792
1986,51.5362,0.0792
1987,51.5362,0.0792
1987,51.5362,0.0792
1987,51.5362,0.0792
1988,51.5362,0.0792
1988,51.5362,0.0792
1988,51.5362,0.0792
1989,51.5362,0.0792
1989,51.5362,0.0792
1989,51.5362,0.0792
1990,51.5362,0.0792
1990,51.5362,0.0792
1990,51.5362,0.0792
1991,51.5362,0.0792
1991,51.5362,0.0792
1991,51.5362,0.0792
1992,51.5362,0.0792
1992,51.5362,0.0792
1992,51.5362,0.0792
1993,51.6521,-0.1996
1993,51.6521,-0.1996
1993,51.6521,-0.1996
1994,51.6521,-0.1996
1994,51.6521,-0.1996
1994,51.6521,-0.1996
1995,51.6521,-0.1996
1995,51.6521,-0.1996
1995,51.6521,-0.1996
1996,51.6521,-0.1996
1996,51.6521,-0.1996
1996,51.6521,-0.1996
1997,51.6521,-0.1996
1997,51.6521,-0.1996
1997,51.6521,-0.1996
1998,51.6521,-0.1996
1998,51.6521,-0.1996
1998,51.6521,-0.1996
1999,51.6521,-0.1996
1999,51.6521,-0.1996
1999,51.6521,-0.1996
2000,51.6521,-0.1996
2000,51.6521,-0.1996
2000,51.6521,-0.1996
2001,51.6521,-0.1996
2001,51.6521,-0.1996
2001,51.6521,-0.1996
2002,51.455,0.1505
2002,51.455,0.1505
2002,51.455,0.1505
2003,51.455,0.1505
2003,51.455,0.1505
2003,51.455,0.1505
2004,51.455,0.1505
2004,51.455,0.1505
2004,51.455,0.1505
2005,51.455,0.1505
2005,51.455,0.1505
2005,51.455,0.1505
2006,51.455,0.1505
2006,51.455,0.1505
2006,51.455,0.1505
2007,51.455,0.1505
2007,51.455,0.1505
2007,51.455,0.1505
2008,51.455,0.1505
2008,51.455,0.1505
2008,51.455,0.1505
2009,51.455,0.1505
2009,51.455,0.1505
2009,51.455,0.1505
2010,51.455,0.1505
2010,51.455,0.1505
2010,51.455,0.1505
2011,51.5588,-0.2817
2011,51.5588,-0.2817
2011,51.5588,-0.2817
2012,51.5588,-0.2817
2012,51.5588,-0.2817
2012,51.5588,-0.2817
2013,51.5588,-0.2817
2013,51.5588,-0.2817
2013,51.5588,-0.2817
2014,51.5588,-0.2817
2014,51.5588,-0.2817
2014,51.5588,-0.2817
2015,51.5588,-0.2817
2015,51.5588,-0.2817
2015,51.5588,-0.2817
2016,51.5588,-0.2817
2016,51.5588,-0.2817
2016,51.5588,-0.2817
2017,51.5588,-0.2817
2017,51.5588,-0.2817
2017,51.5588,-0.2817
2018,51.5588,-0.2817
2018,51.5588,-0.2817
2018,51.5588,-0.2817
2019,51.5588,-0.2817
2019,51.5588,-0.2817
2019,51.5588,-0.2817
2020,51.405,0.0148
2020,51.405,0.0148
2020,51.405,0.0148
2021,51.405,0.0148
2021,51.405,0.0148
2021,51.405,0.0148
,51.405,0.0148
,51.405,0.0148
,51.405,0.0148
,51.405,0.0148
,51.405,0.0148
,51.405,0.0148
,51.405,0.0148
,51.405,0.0148
,51.405,0.0148
,51.405,0.0148
,51.405,0.0148
,51.405,0.0148
,51.405,0.0148
,51.405,0.0148
,51.405,0.0148
,51.405,0.0148
,51.405,0.0148
,51.405,0.0148
,51.405,0.0148
,51.405,0.0148
,51.405,0.0148
,51.5413,-0.1467
,51.5413,-0.1467
